Categoria,SerialNumber,Archivo,Estatus_Tester,Consumo_mA,Offset_High_V,V_20A_High_V,Tiempo_ms_High,Offset_Low_V,V_20A_Low_V,Tiempo_ms_Low,Delta_V_High,Delta_V_Low,S_High_mVA,S_Low_mVA,Ratio_HL,Ratio_Dev_Pct,Proy_220A_High_mV,Proy_220A_Low_mV,Status,Razon_Falla,Ford_220A
CORRECTION_FACTOR,26169000632,7370-2573-8W 26169000632 0101 OK.txt,OK,20.514,2.505,2.619,19.0,2.505,2.904,19.0,0.11400000000000032,0.399,5.700000000000016,19.95,0.28571428571428653,-0.9655855409751986,3759.0000000000036,6894.0,PASS,,PASS
CORRECTION_FACTOR,26169000633,7370-2573-8W 26169000633 0101 OK.txt,OK,21.065,2.504,2.618,19.0,2.506,2.906,64.0,0.11399999999999988,0.40000000000000036,5.699999999999994,20.000000000000018,0.2849999999999994,-1.2131715771232439,3757.9999999999986,6906.000000000004,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000634,7370-2573-8W 26169000634 0101 OK.txt,OK,21.063,2.504,2.618,20.0,2.506,2.906,64.0,0.11399999999999988,0.40000000000000036,5.699999999999994,20.000000000000018,0.2849999999999994,-1.2131715771232439,3757.9999999999986,6906.000000000004,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000635,7370-2573-8W 26169000635 0101 OK.txt,OK,20.411,2.505,2.619,20.0,2.505,2.905,19.0,0.11400000000000032,0.3999999999999999,5.700000000000016,19.999999999999993,0.2850000000000009,-1.2131715771227243,3759.0000000000036,6904.999999999998,PASS,,PASS
CORRECTION_FACTOR,26169000636,7370-2573-8W 26169000636 0101 OK.txt,OK,20.378,2.505,2.619,19.0,2.505,2.904,50.0,0.11400000000000032,0.399,5.700000000000016,19.95,0.28571428571428653,-0.9655855409751986,3759.0000000000036,6894.0,PASS,,PASS
CORRECTION_FACTOR,26169000637,7370-2573-8W 26169000637 0101 OK.txt,OK,21.068,2.504,2.618,20.0,2.505,2.904,19.0,0.11399999999999988,0.399,5.699999999999994,19.95,0.2857142857142854,-0.9655855409755834,3757.9999999999986,6894.0,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000638,7370-2573-8W 26169000638 0101 OK.txt,OK,20.587,2.504,2.617,20.0,2.504,2.904,19.0,0.11299999999999999,0.3999999999999999,5.6499999999999995,19.999999999999993,0.2825000000000001,-2.079722703639478,3747.0,6903.999999999998,FAIL,S_High=5.650 < 5.7,PASS
CORRECTION_FACTOR,26169000639,7370-2573-8W 26169000639 0101 OK.txt,OK,20.791,2.505,2.619,19.0,2.505,2.904,19.0,0.11400000000000032,0.399,5.700000000000016,19.95,0.28571428571428653,-0.9655855409751986,3759.0000000000036,6894.0,PASS,,PASS
CORRECTION_FACTOR,26169000640,7370-2573-8W 26169000640 0101 OK.txt,OK,21.141,2.504,2.618,20.0,2.505,2.904,59.0,0.11399999999999988,0.399,5.699999999999994,19.95,0.2857142857142854,-0.9655855409755834,3757.9999999999986,6894.0,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000641,7370-2573-8W 26169000641 0101 OK.txt,OK,21.514,2.505,2.619,20.0,2.504,2.904,19.0,0.11400000000000032,0.3999999999999999,5.700000000000016,19.999999999999993,0.2850000000000009,-1.2131715771227243,3759.0000000000036,6903.999999999998,PASS,,PASS
CORRECTION_FACTOR,26169000642,7370-2573-8W 26169000642 0101 OK.txt,OK,20.666,2.505,2.62,19.0,2.506,2.906,60.0,0.11500000000000021,0.40000000000000036,5.750000000000011,20.000000000000018,0.28750000000000026,-0.34662045060648994,3770.0000000000023,6906.000000000004,PASS,,PASS
CORRECTION_FACTOR,26169000643,7370-2573-8W 26169000643 0101 OK.txt,OK,20.738,2.503,2.617,19.0,2.504,2.904,19.0,0.11399999999999988,0.3999999999999999,5.699999999999994,19.999999999999993,0.2849999999999998,-1.213171577123109,3756.9999999999986,6903.999999999998,FAIL,S_High=5.700 < 5.7,PASS
